GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B08AA1970,B08AA1980,B08AA1990,B08AA2000,B08AA2010,B08AB1970,B08AB1980,B08AB1990,B08AB2000,B08AB2010,B08AC1970,B08AC1980,B08AC1990,B08AC2000,B08AC2010,B08AD1970,B08AD1980,B08AD1990,B08AD2000,B08AD2010,B08AE1970,B08AE1980,B08AE1990,B08AE2000,B08AE2010,B08AF1970,B08AF1980,B08AF1990,B08AF2000,B08AF2010,B08AG1970,B08AG1980,B08AG1990,B08AG2000,B08AG2010,B08AH1970,B08AH1980,B08AH1990,B08AH2000,B08AH2010,B08AI1970,B08AI1980,B08AI1990,B08AI2000,B08AI2010,B08AJ2000,B08AJ2010
"G5300050","Washington","53","530","Benton County","005","0050",66456,103150,102832,122879,144418,437,971,1085,1319,2221,225,730,832,1069,1517,114,410,284,218,254,66,343,370,628,1068,25,225,306,417,743,14,111,227,379,447,9,22,51,65,88,194,3482,6573,11507,18052,3829,6222
"G5300070","Washington","53","530","Chelan County","007","0070",40844,43705,48333,55711,57484,42,13,80,172,236,281,403,468,605,661,14,23,63,80,87,27,48,36,67,108,9,8,51,54,89,5,29,35,83,66,15,6,13,17,21,118,826,3171,8349,11682,1423,1990
"G5300090","Washington","53","530","Clallam County","009","0090",33128,48728,52509,57505,62092,53,89,321,545,596,1366,2126,2640,3145,3552,53,70,139,150,138,14,13,103,146,255,65,80,143,134,249,8,89,99,134,118,10,14,43,21,32,73,439,467,1037,1593,1576,2716
"G5300110","Washington","53","530","Clark County","011","0110",126965,184980,225192,306648,363397,569,1596,2976,5813,8426,398,1618,2175,2644,3417,145,240,682,1097,1323,70,303,719,1989,3408,63,451,808,1797,2917,58,700,903,1499,1802,35,157,315,309,479,151,2182,4283,12374,22206,10641,17219
"G5300130","Washington","53","530","Columbia County","013","0130",4418,3989,3874,3809,3791,4,0,1,9,12,7,29,26,30,53,5,0,4,4,6,0,2,2,2,3,1,0,4,6,4,0,7,1,1,1,0,0,0,2,3,4,30,112,116,93,77,109
"G5300150","Washington","53","530","Cowlitz County","015","0150",67819,76904,78516,85326,91069,109,250,288,482,642,357,1116,1281,1267,1477,85,67,91,111,103,31,23,145,162,266,41,246,158,167,309,10,54,99,122,133,42,21,67,43,93,122,867,1474,2682,4391,2435,3822
"G5300170","Washington","53","530","Douglas County","017","0170",16580,21412,24341,27599,30573,16,34,45,101,128,115,266,216,325,398,18,79,33,29,29,3,26,15,31,50,22,30,28,56,72,2,0,22,26,28,0,0,17,13,19,31,297,1488,3585,6112,809,1011
"G5300190","Washington","53","530","Ferry County","019","0190",2923,4771,5084,5480,5758,84,34,20,15,26,613,975,1127,1285,1249,2,0,2,3,15,4,0,1,1,3,1,0,8,6,15,0,0,3,4,3,0,0,2,2,2,28,31,48,175,111,251,359
"G5300210","Washington","53","530","Franklin County","021","0210",24005,30264,26917,30553,47270,1388,1541,1310,1230,1473,105,398,254,343,504,83,60,73,55,86,28,2,51,55,115,10,22,63,87,231,6,41,89,61,84,11,16,17,10,38,180,2681,8699,14868,25835,2045,2467
"G5300230","Washington","53","530","Garfield County","023","0230",2904,2442,2222,2312,2125,0,0,0,0,0,3,0,8,7,6,1,0,0,3,1,0,0,2,1,3,0,0,1,8,13,0,3,3,4,4,0,0,0,0,0,3,23,12,34,70,26,44
"G5300250","Washington","53","530","Grant County","025","0250",40284,43776,46976,57174,64906,656,548,599,742,990,376,565,556,790,1062,354,370,354,319,236,27,8,43,40,65,22,30,64,81,157,10,52,52,73,64,9,10,20,15,29,143,3163,6094,13144,18474,2247,3101
"G5300270","Washington","53","530","Grays Harbor County","027","0270",57658,63137,60230,59335,61825,36,97,119,226,803,1465,2306,2612,2945,3251,39,43,52,80,71,82,87,104,67,97,119,78,146,174,246,5,27,89,220,195,15,78,30,21,41,134,461,793,1872,3392,2083,2813
"G5300290","Washington","53","530","Island County","029","0290",26149,41102,55034,62374,67611,272,627,1454,1691,1716,68,462,442,586,615,99,207,299,320,382,29,23,90,120,245,239,944,1625,2147,2312,6,31,111,139,150,10,44,88,75,86,139,608,1052,1510,1796,2460,3510
"G5300310","Washington","53","530","Jefferson County","031","0310",10258,15306,19252,23920,27198,28,61,84,110,246,320,395,549,552,659,20,28,70,98,93,2,0,21,50,82,4,13,17,64,154,6,23,21,45,56,4,0,9,18,12,19,139,123,276,330,784,1020
"G5300330","Washington","53","530","King County","033","0330",1076216,1128708,1278532,1315507,1325845,40597,55275,76289,93875,119801,7391,12264,15889,13708,15164,13492,16684,20757,21455,20652,7303,13586,25710,45018,68910,7117,14679,24558,33714,43848,712,5379,12524,20005,28298,517,1034,1758,1506,1558,3288,22140,51302,114706,200435,70499,96799
"G5300350","Washington","53","530","Kitsap County","035","0350",97695,136554,171063,195481,207369,1451,2799,5107,6648,6650,913,2154,3068,3346,3832,358,699,1005,1148,1254,46,220,417,553,925,893,2318,4179,6556,7728,25,234,587,777,884,28,160,367,332,352,323,2014,3938,5804,7242,10774,14449
"G5300370","Washington","53","530","Kittitas County","037","0370",24621,24114,25529,30617,36544,71,116,151,236,364,105,222,208,256,362,97,77,190,329,138,41,26,61,154,189,17,35,55,59,118,3,45,50,78,116,16,11,17,3,17,68,231,464,931,1782,658,1246
"G5300390","Washington","53","530","Klickitat County","039","0390",11758,14833,15383,16778,17824,10,28,26,51,50,279,588,576,597,468,41,31,38,36,29,2,0,5,15,15,13,40,12,16,29,4,7,34,51,22,7,0,19,8,11,24,295,523,1011,1187,526,670
"G5300410","Washington","53","530","Lewis County","041","0410",45076,54605,57663,63772,67712,39,113,189,259,405,242,524,614,776,1013,16,70,36,57,60,24,65,47,84,126,5,122,66,72,154,13,130,96,128,143,9,24,21,49,29,43,372,626,1981,3337,1381,2437
"G5300430","Washington","53","530","Lincoln County","043","0430",9469,9437,8657,9740,10038,1,2,15,23,28,81,136,133,153,166,8,4,11,2,3,0,0,1,2,3,1,7,2,11,13,1,2,10,8,8,1,2,3,3,4,10,14,32,64,69,164,236
"G5300450","Washington","53","530","Mason County","045","0450",20220,29603,35769,43705,52281,95,115,332,587,659,515,993,1390,1703,2173,22,80,77,77,105,12,36,51,60,107,21,24,104,170,267,8,7,49,84,110,1,0,29,45,51,24,326,540,1360,2388,1497,2513
"G5300470","Washington","53","530","Okanogan County","047","0470",23701,26989,27615,29799,30399,73,45,52,109,159,1999,3097,3567,4363,4588,4,6,32,26,28,9,3,11,19,25,4,56,44,50,84,4,41,31,29,21,0,7,5,11,10,73,395,1993,3875,4280,1124,1456
"G5300490","Washington","53","530","Pacific County","049","0490",15530,16709,17683,18998,18286,20,45,57,42,79,163,343,500,459,457,37,21,51,33,23,7,7,39,30,32,3,16,43,16,35,6,3,28,21,27,5,0,11,3,5,25,93,470,738,1246,592,704
"G5300510","Washington","53","530","Pend Oreille County","051","0510",5861,8362,8640,10973,11907,1,7,12,17,52,135,203,194,320,463,13,8,8,13,10,3,0,4,14,13,2,0,4,20,15,0,0,1,1,3,0,0,1,6,10,10,0,51,113,134,239,374
"G5300530","Washington","53","530","Pierce County","053","0530",382429,427905,498642,549369,590040,18501,30026,42210,48730,53998,3343,5364,7833,8838,10338,2496,3812,3966,3571,3290,357,1129,1301,1936,2973,1683,3137,4763,7324,11341,500,4165,7590,10562,11945,337,664,1198,998,1114,1381,9441,18700,31784,53750,35843,54347
"G5300550","Washington","53","530","San Juan County","055","0550",3809,7735,9811,13372,14597,1,0,23,36,54,25,29,73,94,97,0,22,24,37,32,8,14,12,23,45,1,0,6,16,19,6,11,8,20,32,2,0,12,8,3,4,27,66,166,487,287,399
"G5300570","Washington","53","530","Skagit County","057","0570",51370,60899,74133,89070,97448,45,99,280,450,774,650,1147,1592,1730,2405,70,148,205,365,238,21,5,99,248,322,31,65,175,441,692,8,66,114,214,293,4,0,42,34,66,182,1709,2915,7808,10845,2468,3739
"G5300590","Washington","53","530","Skamania County","059","0590",5726,7774,7987,9093,10265,12,0,5,30,46,93,120,198,178,169,0,7,12,16,18,0,8,1,9,14,4,0,18,14,36,3,2,5,6,11,0,0,6,0,6,7,8,57,267,168,222,329
"G5300610","Washington","53","530","Snohomish County","061","0610",260763,322619,434536,518948,559011,1012,2523,4767,10113,18168,2105,4727,5921,7078,9275,380,1268,2078,2480,3186,131,555,1780,4467,8157,244,1129,3342,7436,12722,80,894,3787,7642,11870,102,259,582,549,708,419,3746,8849,25206,55456,20349,32722
"G5300630","Washington","53","530","Spokane County","063","0630",280174,326754,341874,381934,420275,2989,4413,5105,6659,8056,1988,4198,5390,5439,7026,1323,1586,1744,1686,1110,235,426,824,1102,1516,141,556,750,1042,1592,58,298,811,946,1128,64,107,251,221,366,515,3497,4615,6832,11848,11553,17856
"G5300650","Washington","53","530","Stevens County","065","0650",16520,27166,28747,36078,38923,16,19,65,111,145,821,1624,1787,2187,2351,6,15,41,31,44,1,5,21,34,34,6,18,44,57,71,4,2,23,36,31,1,0,8,24,27,30,130,212,357,404,1081,1456
"G5300670","Washington","53","530","Thurston County","067","0670",75485,117895,148221,177617,207856,207,775,2864,4881,6752,582,1576,2364,2827,3376,145,394,676,791,801,46,190,398,820,1415,119,399,939,1574,2627,59,592,1338,2044,2610,24,111,226,259,328,227,2332,4212,8085,12501,7985,13495
"G5300690","Washington","53","530","Wahkiakum County","069","0690",3535,3708,3218,3574,3738,0,0,3,10,10,49,52,53,50,47,2,0,4,4,5,0,0,1,0,1,4,0,2,6,6,0,0,1,1,1,0,2,1,1,4,2,70,44,75,39,96,123
"G5300710","Washington","53","530","Walla Walla County","071","0710",41165,43917,43290,47081,49654,481,718,720,930,1079,171,476,335,418,568,113,98,114,110,108,81,99,136,121,170,20,15,91,76,129,11,75,69,76,86,4,10,24,28,28,130,2027,3660,4864,5078,1419,1828
"G5300730","Washington","53","530","Whatcom County","073","0730",79257,101761,119229,147485,171816,201,244,650,1150,1929,1949,2961,3848,4323,5414,147,236,418,482,535,65,87,320,742,1238,50,229,303,589,1099,27,131,312,580,711,21,15,85,76,106,233,1037,2615,6606,10455,4439,7553
"G5300750","Washington","53","530","Whitman County","075","0750",36939,37789,35653,35880,37866,164,623,490,623,748,102,205,234,269,286,179,252,377,373,276,295,386,752,788,1418,23,60,102,132,268,46,86,243,376,498,8,9,29,36,39,144,693,895,1101,1631,1072,1630
"G5300770","Washington","53","530","Yakima County","077","0770",137861,143370,139514,146005,155056,1567,1724,1938,2157,2320,3882,6669,8355,8887,10398,297,258,330,260,212,114,259,241,295,346,434,630,726,746,907,28,46,196,370,356,12,57,48,70,54,776,19495,37475,54949,64289,7751,9109
"G5400010","West Virginia","54","540","Barbour County","001","0010",13846,16420,15333,15147,16059,140,157,148,77,124,9,28,160,97,96,2,0,4,11,1,0,9,3,6,14,10,0,8,1,5,8,0,11,6,3,2,0,0,1,1,13,25,32,37,40,160,244
"G5400030","West Virginia","54","540","Berkeley County","003","0030",34933,44816,56511,70392,91500,1341,1701,2209,3558,7432,22,92,89,176,275,19,16,33,28,37,1,21,24,63,151,6,14,48,58,195,4,5,27,44,106,0,0,2,5,12,30,110,310,594,1689,974,2746
"G5400050","West Virginia","54","540","Boone County","005","0050",24801,30024,25590,25160,24271,283,279,214,167,122,3,39,29,31,33,7,0,3,2,2,1,29,3,7,7,7,5,7,2,3,2,0,0,2,2,0,0,0,0,1,14,71,24,26,48,138,138
"G5400070","West Virginia","54","540","Braxton County","007","0070",12565,13817,12905,14411,14259,81,43,46,101,59,11,9,17,31,35,2,2,7,4,4,0,0,0,1,2,0,21,10,6,8,0,0,1,1,0,1,0,3,2,3,6,2,9,18,18,104,128
"G5400090","West Virginia","54","540","Brooke County","009","0090",29378,30787,26673,24913,23358,251,274,202,216,281,18,7,27,21,20,7,22,5,10,9,9,6,7,5,22,8,8,10,16,15,7,0,10,9,4,0,0,0,2,1,7,13,58,75,84,175,274
"G5400110","West Virginia","54","540","Cabell County","011","0110",102245,101683,92103,90370,88194,4475,4459,3966,4150,4784,54,137,110,157,212,28,17,23,49,53,16,69,76,162,219,40,109,118,114,113,14,21,55,74,86,0,0,10,6,11,46,340,366,570,727,1107,1901
"G5400130","West Virginia","54","540","Calhoun County","013","0130",7038,8221,7836,7499,7504,4,0,2,8,16,1,0,14,19,20,3,7,2,1,3,0,0,3,0,0,0,7,14,1,2,0,0,8,1,1,0,0,0,1,0,0,15,6,15,24,33,56
"G5400150","West Virginia","54","540","Clay County","015","0150",9322,11258,9968,10146,9271,1,0,1,8,6,2,7,6,60,18,2,0,1,0,1,0,0,0,0,1,1,0,3,1,3,0,0,1,0,1,0,0,0,0,2,2,0,3,10,6,92,76
"G5400170","West Virginia","54","540","Doddridge County","017","0170",6373,7419,6952,7278,7955,3,4,2,20,111,5,0,28,18,24,4,5,4,6,3,0,0,0,1,0,0,0,2,2,3,0,0,1,1,2,0,0,0,0,0,4,5,5,11,12,61,92
"G5400190","West Virginia","54","540","Fayette County","019","0190",43987,53352,44697,44125,43026,5240,4301,3017,2650,2122,14,69,62,98,89,8,15,2,5,7,10,11,24,49,17,21,44,48,37,23,17,12,5,5,9,0,6,2,2,0,35,53,95,133,123,443,619
"G5400210","West Virginia","54","540","Gilmer County","021","0210",7759,8274,7593,6969,7173,17,30,32,65,1073,0,11,8,14,41,0,4,20,30,3,0,2,0,0,9,0,0,5,5,7,1,10,3,2,5,0,0,0,0,1,5,3,8,11,232,63,147
"G5400230","West Virginia","54","540","Grant County","023","0230",8461,10085,10273,11110,11657,138,115,106,76,80,5,1,21,29,17,0,0,0,1,1,0,0,2,1,4,0,0,4,4,4,1,0,1,0,1,0,0,0,0,1,2,9,21,27,69,51,102
"G5400250","West Virginia","54","540","Greenbrier County","025","0250",30417,35977,33296,32810,33565,1653,1546,1277,1048,981,6,34,41,69,111,6,0,7,6,4,0,41,3,15,37,2,25,16,14,21,0,0,6,12,17,1,0,3,0,5,5,42,44,71,200,360,534
"G5400270","West Virginia","54","540","Hampshire County","027","0270",11602,14640,16314,19807,23301,99,161,112,167,240,0,14,30,35,48,2,7,0,3,7,0,0,1,4,10,3,4,8,10,12,0,11,3,1,6,0,0,2,1,2,4,30,28,43,69,119,267
"G5400290","West Virginia","54","540","Hancock County","029","0290",38363,39140,34135,31497,29365,1294,1063,901,752,712,4,22,35,37,39,8,3,6,5,5,5,0,5,18,24,47,77,43,30,29,6,3,12,17,6,2,0,5,3,3,20,110,91,80,90,224,402
"G5400310","West Virginia","54","540","Hardy County","031","0310",8625,9817,10744,12273,13161,214,195,209,244,354,7,16,14,19,24,4,0,1,1,0,1,0,1,10,12,0,0,0,0,18,3,0,0,2,7,1,0,1,0,0,0,2,7,34,311,85,135
"G5400330","West Virginia","54","540","Harrison County","033","0330",71855,76177,68056,66282,66306,1089,1075,975,1105,1121,19,194,91,83,134,7,13,22,173,8,1,0,24,46,75,18,84,40,51,60,10,8,31,36,31,0,0,5,5,11,29,159,127,255,275,591,1069
"G5400350","West Virginia","54","540","Jackson County","035","0350",20886,25651,25817,27649,28673,2,49,16,23,85,3,43,40,52,47,2,0,6,17,11,0,0,6,15,25,3,0,15,19,21,0,0,5,2,4,0,0,0,1,1,7,51,33,43,84,173,258
